ID_Reclamacao;Data;Empresa;Titulo;Descricao;Cidade_Estado;Status
RA283758720;03/03/2026;TeleCom Mais;Plano de saúde negou meu exame;Pago o convênio rigorosamente em dia, e quando preciso fazer um exame simples de rotina, me informam que estou em carência, sendo que meu contrato já tem 2 anos! Protocolo 95225343.;Recife - PE;Não respondida
RA507437181;09/04/2026;Supermercado CompreBem;Entregador jogou o pacote por cima do muro;Ao invés de buzinar e esperar alguém atender, o entregador simplesmente arremessou a caixa por cima do portão. O objeto de dentro espatifou. Tenho imagens da câmera de segurança.;Manaus - AM;Respondida
RA448195935;11/02/2026;PetShop AnimalFeliz;Mau atendimento na loja física;Fui à loja para resolver um problema com minha garantia e a gerente foi extremamente rude, dizendo que eu que havia estragado o aparelho. Um total descaso com o cliente.;Maceió - AL;Respondida
RA709004943;25/04/2026;TeleCom Mais;Cobrança indevida no cartão de crédito;Fui verificar minha fatura e encontrei uma cobrança de R$ 148,52 referente a um serviço que nunca contratei. Já liguei no SAC e me disseram que iriam estornar, mas até agora nada. Protocolo: 38317637.;Rio de Janeiro - RJ;Resolvido
RA592688426;22/02/2026;TeleCom Mais;Peça de roupa veio no tamanho errado;Comprei uma blusa tamanho M, mas enviaram tamanho GG. A etiqueta da roupa diz uma coisa e o saco diz outra. Quero o código de logística reversa para devolver, não vou pagar frete de volta.;Vitória - ES;Não resolvido
RA678722458;15/03/2026;ModaWeb;Produto veio com defeito e não trocam;Recebi minha encomenda e ao abrir a caixa o produto estava quebrado. Mandei e-mail com fotos no mesmo dia, mas a empresa diz que a culpa foi do transporte e não quer assumir a responsabilidade.;Curitiba - PR;Respondida
RA488690725;25/04/2026;Supermercado CompreBem;Mau atendimento na loja física;Fui à loja para resolver um problema com minha garantia e a gerente foi extremamente rude, dizendo que eu que havia estragado o aparelho. Um total descaso com o cliente.;Campina Grande - PB;Em réplica
RA911514914;13/07/2026;Banco DinheiroFácil;Bloqueio de conta sem justificativa;Minha conta bancária foi bloqueada do nada. Tenho contas a pagar, dinheiro preso lá dentro e ninguém no chat me explica o motivo. Só dizem que está em 'análise de segurança' há semanas.;Natal - RN;Não resolvido
RA740389325;26/02/2026;Estilo Calçados;Cobrança indevida no cartão de crédito;Fui verificar minha fatura e encontrei uma cobrança de R$ 96,79 referente a um serviço que nunca contratei. Já liguei no SAC e me disseram que iriam estornar, mas até agora nada. Protocolo: 66661351.;Salvador - BA;Respondida
RA694021782;08/04/2026;AéreoBrasil;Internet caindo toda hora;Trabalho de home office e a internet cai o dia inteiro. Assinei o plano de 600 mega e não chega nem a metade disso. É um absurdo pagar caro por um serviço que não funciona direito.;Belém - PA;Em réplica
RA219778234;29/05/2026;Farmácia Saúde Online;Produto não entregue e passou do prazo;Comprei um produto no dia 20/04/2026 e o prazo máximo era 23/05/2026. Até agora não recebi nada e o código de rastreio não atualiza. O suporte não me responde. Exijo meu dinheiro de volta!;Salvador - BA;Em réplica
RA875340444;05/08/2026;AéreoBrasil;Propaganda enganosa na Black Friday;Anunciaram o produto com 50% de desconto, mas acompanho o preço há meses e eles dobraram o valor na véspera para dar o 'desconto'. Isso é uma fraude!;Brasília - DF;Não resolvido
RA771410971;09/07/2026;Provedor NetVeloz;Mau atendimento na loja física;Fui à loja para resolver um problema com minha garantia e a gerente foi extremamente rude, dizendo que eu que havia estragado o aparelho. Um total descaso com o cliente.;Brasília - DF;Em réplica
RA264109919;16/06/2026;Estilo Calçados;Propaganda enganosa na Black Friday;Anunciaram o produto com 50% de desconto, mas acompanho o preço há meses e eles dobraram o valor na véspera para dar o 'desconto'. Isso é uma fraude!;Natal - RN;Em réplica
RA743111853;23/03/2026;TechPrime Brasil;Plano de saúde negou meu exame;Pago o convênio rigorosamente em dia, e quando preciso fazer um exame simples de rotina, me informam que estou em carência, sendo que meu contrato já tem 2 anos! Protocolo 10076758.;Brasília - DF;Em réplica
RA992994062;05/05/2026;SeguroTotal;Peça de roupa veio no tamanho errado;Comprei uma blusa tamanho M, mas enviaram tamanho GG. A etiqueta da roupa diz uma coisa e o saco diz outra. Quero o código de logística reversa para devolver, não vou pagar frete de volta.;São Paulo - SP;Não respondida
RA184564737;13/03/2026;TeleCom Mais;Propaganda enganosa na Black Friday;Anunciaram o produto com 50% de desconto, mas acompanho o preço há meses e eles dobraram o valor na véspera para dar o 'desconto'. Isso é uma fraude!;Rio de Janeiro - RJ;Respondida
RA237859287;22/03/2026;Supermercado CompreBem;Internet caindo toda hora;Trabalho de home office e a internet cai o dia inteiro. Assinei o plano de 500 mega e não chega nem a metade disso. É um absurdo pagar caro por um serviço que não funciona direito.;Vitória - ES;Não respondida
RA751325257;23/03/2026;Provedor NetVeloz;Prometeram brinde e não enviaram;Participei da promoção de compre e ganhe, onde ao levar dois perfumes eu ganharia uma nécessaire. Os produtos chegaram, mas o brinde não. Fiz a compra SÓ por causa do brinde.;Brasília - DF;Resolvido
RA821218382;18/05/2026;TeleCom Mais;Mensalidade aumentou sem aviso;Minha fatura do mês passado foi de R$ 99,90 e a desse mês veio R$ 211,52. Ninguém me ligou ou mandou e-mail avisando sobre reajuste. Exijo o retorno para o valor antigo.;Maceió - AL;Respondida
RA341266931;06/07/2026;SeguroTotal;Plano de saúde negou meu exame;Pago o convênio rigorosamente em dia, e quando preciso fazer um exame simples de rotina, me informam que estou em carência, sendo que meu contrato já tem 2 anos! Protocolo 43273328.;Natal - RN;Não resolvido
RA731832764;17/03/2026;ComidaRápida App;Internet caindo toda hora;Trabalho de home office e a internet cai o dia inteiro. Assinei o plano de 500 mega e não chega nem a metade disso. É um absurdo pagar caro por um serviço que não funciona direito.;São Paulo - SP;Em réplica
RA172370545;08/06/2026;MegaEletro;Bloqueio de conta sem justificativa;Minha conta bancária foi bloqueada do nada. Tenho contas a pagar, dinheiro preso lá dentro e ninguém no chat me explica o motivo. Só dizem que está em 'análise de segurança' há semanas.;Belo Horizonte - MG;Não respondida
RA621209849;27/03/2026;Estilo Calçados;Cobrança indevida no cartão de crédito;Fui verificar minha fatura e encontrei uma cobrança de R$ 134,24 referente a um serviço que nunca contratei. Já liguei no SAC e me disseram que iriam estornar, mas até agora nada. Protocolo: 99788677.;Campinas - SP;Não respondida
RA607526654;11/03/2026;Provedor NetVeloz;Voo cancelado sem aviso prévio;Cheguei no aeroporto e descobri que meu voo foi cancelado. Não recebi nenhum e-mail ou SMS. Tive que pagar hotel do meu bolso porque a companhia não deu nenhuma assistência.;Curitiba - PR;Em réplica
RA201281557;18/06/2026;TechPrime Brasil;Bloqueio de conta sem justificativa;Minha conta bancária foi bloqueada do nada. Tenho contas a pagar, dinheiro preso lá dentro e ninguém no chat me explica o motivo. Só dizem que está em 'análise de segurança' há semanas.;Vitória - ES;Não resolvido
RA541417711;19/04/2026;Farmácia Saúde Online;Demora no estorno do cancelamento;Fiz o cancelamento da minha compra há mais de 15 dias e a empresa informou que o estorno seria feito em 7 dias úteis. Já liguei diversas vezes e só me enrolam. Quero meu dinheiro urgente.;Campina Grande - PB;Resolvido
RA532311310;21/07/2026;Estilo Calçados;Estofado rasgou com uma semana de uso;Comprei um sofá que chegou na semana passada. Com apenas 5 dias de uso, a costura do assento abriu. É evidente que é falha de fabricação. Quero a troca do estofado completo.;Rio de Janeiro - RJ;Não respondida
RA304235259;17/06/2026;TechPrime Brasil;Peça de roupa veio no tamanho errado;Comprei uma blusa tamanho M, mas enviaram tamanho GG. A etiqueta da roupa diz uma coisa e o saco diz outra. Quero o código de logística reversa para devolver, não vou pagar frete de volta.;Salvador - BA;Respondida
RA399085574;20/06/2026;SeguroTotal;Entregador jogou o pacote por cima do muro;Ao invés de buzinar e esperar alguém atender, o entregador simplesmente arremessou a caixa por cima do portão. O objeto de dentro espatifou. Tenho imagens da câmera de segurança.;Curitiba - PR;Não resolvido
RA205128697;18/03/2026;TeleCom Mais;Estofado rasgou com uma semana de uso;Comprei um sofá que chegou na semana passada. Com apenas 5 dias de uso, a costura do assento abriu. É evidente que é falha de fabricação. Quero a troca do estofado completo.;Belo Horizonte - MG;Não resolvido
RA278575192;13/07/2026;Farmácia Saúde Online;Cobrança indevida no cartão de crédito;Fui verificar minha fatura e encontrei uma cobrança de R$ 464,66 referente a um serviço que nunca contratei. Já liguei no SAC e me disseram que iriam estornar, mas até agora nada. Protocolo: 41726318.;Maceió - AL;Não respondida
RA276777762;25/04/2026;SeguroTotal;Mensalidade aumentou sem aviso;Minha fatura do mês passado foi de R$ 99,90 e a desse mês veio R$ 453,17. Ninguém me ligou ou mandou e-mail avisando sobre reajuste. Exijo o retorno para o valor antigo.;Vitória - ES;Respondida
RA406284028;11/04/2026;MegaEletro;Aplicativo travando e fechando sozinho;Fiz a atualização do aplicativo e agora não consigo mais acessar minha conta. Fica carregando infinitamente e depois fecha. Preciso pagar minhas contas e o app não funciona.;Belém - PA;Resolvido
RA333754555;27/06/2026;Supermercado CompreBem;Mensalidade aumentou sem aviso;Minha fatura do mês passado foi de R$ 99,90 e a desse mês veio R$ 111,15. Ninguém me ligou ou mandou e-mail avisando sobre reajuste. Exijo o retorno para o valor antigo.;Maceió - AL;Não resolvido
RA611947770;17/05/2026;Loja do Lar;Cobrança indevida no cartão de crédito;Fui verificar minha fatura e encontrei uma cobrança de R$ 47,44 referente a um serviço que nunca contratei. Já liguei no SAC e me disseram que iriam estornar, mas até agora nada. Protocolo: 88406989.;Maceió - AL;Não respondida
RA645276696;22/07/2026;PetShop AnimalFeliz;Não consigo cancelar assinatura;Assinar o serviço foi fácil, levou 2 minutos no site. Agora para cancelar, escondem o botão, pedem pra ligar, a ligação cai. Estou há 3 dias tentando cancelar e sigo sendo cobrado.;Natal - RN;Respondida
RA825003955;06/03/2026;Estilo Calçados;Internet caindo toda hora;Trabalho de home office e a internet cai o dia inteiro. Assinei o plano de 300 mega e não chega nem a metade disso. É um absurdo pagar caro por um serviço que não funciona direito.;Brasília - DF;Não respondida
RA721609600;03/06/2026;AéreoBrasil;Bloqueio de conta sem justificativa;Minha conta bancária foi bloqueada do nada. Tenho contas a pagar, dinheiro preso lá dentro e ninguém no chat me explica o motivo. Só dizem que está em 'análise de segurança' há semanas.;Salvador - BA;Em réplica
